,Unnamed: 0,LATITUDE,LONGITUDE,MAF_NAME,BLKID
177383,168538,39.66150618,-104.93955476,S Ash St,80310040034002
75962,34360,39.76092553,-104.98544254,Blake St,80310016002029
194895,275574,39.75866477,-105.00149915,Little Raven St,80310017011006
134157,316148,39.7152829,-104.94738058,E Bayaud Ave,80310038004018
256678,200969,39.66540446,-105.07435383,S Saulsbury St,80310119031006
101560,29653,39.66594349,-105.08073030000001,S Wadsworth Blvd,80310119031010
155651,158586,39.69227475,-104.97192357,S Marion St,80310034023011
296953,183179,39.66453608,-104.94455687,E Bates Ave,80310040021006
198651,134263,39.65881323,-104.85003348,S Parker Rd,80310070061000
212060,31967,39.71459114,-104.90875863,E Cedar Ave,80310043063013
39222,311768,39.7744641,-104.80442263,N Kittredge St,80310083882006
106061,107634,39.71417486,-105.04291575,S Stuart St,80310009022013
69690,281427,39.75632099,-105.01806051,N Speer Blvd,80310006001006
51695,155619,39.73032716,-105.03916615,N Perry St,80310009053012
244999,218106,39.75496894,-104.94918273,N Adams St,80310036031038
79376,48001,39.72919568,-104.97256211,E 8th Ave,80310032012007
63504,37320,39.76445126,-104.98187725,Blake St,80310016001013
304741,225642,39.67990103,-105.03762126,S Osceola Way,80310046035007
121503,156178,39.66809249,-104.96795990000001,S Gilpin St,80310030042036
244694,140375,39.67531558,-104.90498329,E Warren Dr,80310069011003
198499,23901,39.8013326,-104.76660842,E 57th Pl,80319800001136
126620,238244,39.71766163,-104.9828369,N Logan St,80310028022002
164770,64451,39.63584755,-105.0886007,S Ammons St,80310120142003
210742,253775,39.75829066,-105.00284152,Little Raven St,80310017011005
265293,203782,39.77705036,-104.82691385,N Del Rio Ct,80310083121028
105873,50627,39.72623562,-105.04814843,N Wolff St,80310009042010
99613,117346,39.71755377,-104.98061326,N Pearl St,80310028022000
76221,5393,39.76339973,-105.02073264,N Clay St,80310004025007
235704,251032,39.66691138,-104.93538269,S Brook Dr,80310040033001
81241,266459,39.73225093,-104.99215519,N Speer Blvd,80310020001040
50921,114272,39.75753336,-105.02416952,W 28th Ave,80310006001011
189088,298957,39.65249777,-105.03540500000001,S Lowell Blvd,80310055021003
131551,177085,39.70992683,-104.98236518,S Logan St,80310029011001
225383,61183,39.64920182,-104.88341447,E Lehigh Ave,80310068101012
301746,132249,39.64895458,-104.90605542,S Pontiac Way,80310068092029
281783,212104,39.716074,-104.90145254,E Ellsworth Ave,80310044051023
197721,27133,39.7306816,-104.89551818,N Trenton St,80310044054003
303225,167664,39.72653456,-104.94650489,N Madison St,80310033002021
15557,4475,39.74915802,-105.02904886,W 21st Ave,80310005023002
120309,111070,39.72727414,-105.03213958,N Knox Ct,80310009054005
302347,168925,39.66614814,-105.05355114,W Linvale Pl,80310119021020
313576,281487,39.6549115,-104.91792072,E Girard Pl,80310068123010
250128,97858,39.67112357,-105.04875565,W Vassar Ave,80310047002007
59579,236756,39.73937494,-105.02743564,W Colfax Ave,80310007022008
36133,131894,39.7800092,-104.75524062,E 46th Pl,80310083911014
298393,125821,39.74656278,-104.92785756,N Forest Street Pkwy,80310042012005
248330,106284,39.74639656,-104.88668043,N Xanthia St,80310044031001
248337,154490,39.7466711,-104.88668159,N Xanthia St,80310044031001
261729,117423,39.68630609,-104.97307354,S Downing St,80310030031009
122716,204379,39.68835214,-104.98189891,S Pennsylvania St,80310030012017
290530,104876,39.72165323,-104.97092387,N Lafayette St,80310032031012
